krok,nazwa_kroku,wartosc_parametru,avg_train_rmse,avg_test_rmse,avg_train_mae,avg_test_mae,avg_train_r2,avg_test_r2,r2_gap,best_test_rmse,best_test_r2,best_seed
1,test_ratio,0.1,56833.6494,57313.4398,38757.9815,39854.5415,0.7568,0.7566,0.0002,57017.1232,0.7657,43
1,test_ratio,0.15,57133.9743,57157.5326,39997.8516,40731.2486,0.7547,0.7544,0.0003,56316.6092,0.7538,42
1,test_ratio,0.2,56813.1838,56712.3414,39327.9835,39740.2461,0.7574,0.7585,-0.0011,55489.9324,0.7702,43
1,test_ratio,0.3,56978.2041,57292.6540,39451.9680,40065.3363,0.7557,0.7541,0.0017,56793.9029,0.7573,44
1,test_ratio,0.4,57694.3202,57944.4285,40341.7199,40836.1953,0.7487,0.7495,-0.0008,57783.1278,0.7494,44
2,depth,[],68952.1884,68875.2240,49909.5710,50323.7714,0.6427,0.6439,-0.0011,67896.0322,0.6470,42
2,depth,[16],58308.8906,58044.9563,40606.9343,40761.6735,0.7445,0.7471,-0.0026,57002.2031,0.7512,42
2,depth,"[16, 16]",55582.3083,55792.5596,38054.9588,38572.4415,0.7678,0.7663,0.0015,54367.6962,0.7737,42
2,depth,"[16, 16, 16]",55247.5853,55443.5557,37921.9387,38474.2800,0.7706,0.7692,0.0014,54635.6974,0.7772,43
2,depth,"[16, 16, 16, 16]",54391.2284,55082.8902,37098.0316,37994.3379,0.7777,0.7722,0.0055,54307.8112,0.7799,43
3,topology,"[8, 4, 4, 2]",77533.8501,77192.7021,57226.3027,57444.6890,0.4942,0.4990,-0.0048,57094.9312,0.7504,42
3,topology,"[16, 8, 4, 2]",55596.2025,55645.7809,37924.8982,38367.7973,0.7677,0.7675,0.0002,54790.3516,0.7759,43
3,topology,"[32, 16, 8, 4]",53751.4716,54692.7446,36342.8091,37259.4936,0.7828,0.7754,0.0074,53292.8334,0.7825,42
3,topology,"[64, 32, 16, 8]",51992.7068,53555.0992,35021.9352,36298.1994,0.7967,0.7847,0.0121,51553.0475,0.7965,42
3,topology,"[32, 32, 32, 32]",52717.7129,53762.9235,35463.1655,36549.1323,0.7911,0.7830,0.0081,52734.2035,0.7871,42
4,activation,relu,51992.7068,53555.0992,35021.9352,36298.1994,0.7967,0.7847,0.0121,51553.0475,0.7965,42
4,activation,leaky_relu,52342.7772,53871.8681,35072.1399,36362.5814,0.7940,0.7821,0.0119,51741.1287,0.7950,42
4,activation,tanh,53326.5203,53526.6641,36092.1061,36515.0919,0.7862,0.7849,0.0014,52561.6138,0.7884,42
4,activation,sigmoid,63830.4432,63249.5630,45497.9698,45614.4110,0.6938,0.6997,-0.0059,62351.9264,0.7023,42
5,weight_init_scale,0.01,115364.2782,115440.5091,91105.6149,91324.8515,-0.0001,-0.0004,0.0003,114302.1905,-0.0004,42
5,weight_init_scale,0.1,62274.7765,61426.2187,44472.5993,44362.3511,0.7086,0.7167,-0.0082,60738.2293,0.7175,42
5,weight_init_scale,1.0,53326.5203,53526.6641,36092.1061,36515.0919,0.7862,0.7849,0.0014,52561.6138,0.7884,42
5,weight_init_scale,2.0,51658.2097,53750.4025,35579.4858,37008.2976,0.7994,0.7831,0.0163,52568.6715,0.7884,42
5,weight_init_scale,5.0,63469.8089,68965.9398,46105.3259,50316.3092,0.6968,0.6421,0.0548,64577.2461,0.6887,43
6,lr,0.01,50832.5046,53061.7027,34216.5654,35733.6877,0.8058,0.7886,0.0172,51401.2238,0.7977,42
6,lr,0.005,50992.1076,52629.3961,34113.2887,35282.5820,0.8046,0.7921,0.0125,51210.4782,0.7992,42
6,lr,0.001,53326.5203,53526.6641,36092.1061,36515.0919,0.7862,0.7849,0.0014,52561.6138,0.7884,42
6,lr,0.0005,55134.4175,54979.2053,37602.4933,37931.9784,0.7715,0.7730,-0.0015,53895.5711,0.7776,42
6,lr,0.0001,58628.4858,58175.0674,40719.9246,40915.2374,0.7417,0.7459,-0.0042,57236.7822,0.7491,42
7,epochs,10,55545.9465,55745.1409,38430.6459,38776.6281,0.7678,0.7663,0.0015,54084.0975,0.7817,43
7,epochs,30,50992.1076,52629.3961,34113.2887,35282.5820,0.8046,0.7921,0.0125,51210.4782,0.7992,42
7,epochs,50,48899.2120,52039.9329,33033.9172,35008.7638,0.8203,0.7965,0.0237,51211.4003,0.8042,43
7,epochs,100,45437.0010,51746.2372,30922.1192,34630.7169,0.8448,0.7990,0.0458,51394.1201,0.8029,43
7,epochs,200,40716.5865,52364.4119,27691.5752,34408.8305,0.8754,0.7942,0.0812,51388.4225,0.7978,42
7,epochs,300,38315.0595,53958.5697,26612.6902,35688.3504,0.8897,0.7813,0.1083,53128.4905,0.7839,42
8,repeats,1,50012.2031,53078.2498,33580.3593,35294.4855,0.8130,0.7843,0.0287,53078.2498,0.7843,42
8,repeats,3,48899.2120,52039.9329,33033.9172,35008.7638,0.8203,0.7965,0.0237,51211.4003,0.8042,43
8,repeats,5,48924.7178,51785.3955,33166.6859,34989.9519,0.8202,0.7980,0.0223,50895.3214,0.8008,46
8,repeats,10,49411.2814,52527.3309,33482.8845,35366.9482,0.8163,0.7929,0.0234,50751.3980,0.8044,50
