krok,nazwa_kroku,wartosc_parametru,avg_train_rmse,avg_test_rmse,avg_train_mae,avg_test_mae,avg_train_r2,avg_test_r2,r2_gap,best_test_rmse,best_test_r2,best_seed
3,topology,"[8, 4, 4, 2]",77533.8501,77192.7021,57226.3027,57444.6890,0.4942,0.4990,-0.0048,57094.9312,0.7504,42
3,topology,"[16, 8, 4, 2]",55596.2025,55645.7809,37924.8982,38367.7973,0.7677,0.7675,0.0002,54790.3516,0.7759,43
3,topology,"[32, 16, 8, 4]",53751.4716,54692.7446,36342.8091,37259.4936,0.7828,0.7754,0.0074,53292.8334,0.7825,42
3,topology,"[64, 32, 16, 8]",51992.7068,53555.0992,35021.9352,36298.1994,0.7967,0.7847,0.0121,51553.0475,0.7965,42
3,topology,"[32, 32, 32, 32]",52717.7129,53762.9235,35463.1655,36549.1323,0.7911,0.7830,0.0081,52734.2035,0.7871,42
