krok,nazwa_kroku,wartosc_parametru,avg_train_rmse,avg_test_rmse,avg_train_mae,avg_test_mae,avg_train_r2,avg_test_r2,r2_gap,best_test_rmse,best_test_r2,best_seed
4,activation,relu,51992.7068,53555.0992,35021.9352,36298.1994,0.7967,0.7847,0.0121,51553.0475,0.7965,42
4,activation,leaky_relu,52342.7772,53871.8681,35072.1399,36362.5814,0.7940,0.7821,0.0119,51741.1287,0.7950,42
4,activation,tanh,53326.5203,53526.6641,36092.1061,36515.0919,0.7862,0.7849,0.0014,52561.6138,0.7884,42
4,activation,sigmoid,63830.4432,63249.5630,45497.9698,45614.4110,0.6938,0.6997,-0.0059,62351.9264,0.7023,42
