krok,nazwa_kroku,wartosc_parametru,avg_train_rmse,avg_test_rmse,avg_train_mae,avg_test_mae,avg_train_r2,avg_test_r2,r2_gap,best_test_rmse,best_test_r2,best_seed
2,depth,[],68952.1884,68875.2240,49909.5710,50323.7714,0.6427,0.6439,-0.0011,67896.0322,0.6470,42
2,depth,[16],58308.8906,58044.9563,40606.9343,40761.6735,0.7445,0.7471,-0.0026,57002.2031,0.7512,42
2,depth,"[16, 16]",55582.3083,55792.5596,38054.9588,38572.4415,0.7678,0.7663,0.0015,54367.6962,0.7737,42
2,depth,"[16, 16, 16]",55247.5853,55443.5557,37921.9387,38474.2800,0.7706,0.7692,0.0014,54635.6974,0.7772,43
2,depth,"[16, 16, 16, 16]",54391.2284,55082.8902,37098.0316,37994.3379,0.7777,0.7722,0.0055,54307.8112,0.7799,43
