krok,nazwa_kroku,wartosc_parametru,avg_train_rmse,avg_test_rmse,avg_train_mae,avg_test_mae,avg_train_r2,avg_test_r2,r2_gap,best_test_rmse,best_test_r2,best_seed
8,repeats,1,50012.2031,53078.2498,33580.3593,35294.4855,0.8130,0.7843,0.0287,53078.2498,0.7843,42
8,repeats,3,48899.2120,52039.9329,33033.9172,35008.7638,0.8203,0.7965,0.0237,51211.4003,0.8042,43
8,repeats,5,48924.7178,51785.3955,33166.6859,34989.9519,0.8202,0.7980,0.0223,50895.3214,0.8008,46
8,repeats,10,49411.2814,52527.3309,33482.8845,35366.9482,0.8163,0.7929,0.0234,50751.3980,0.8044,50
