krok,nazwa_kroku,wartosc_parametru,avg_train_rmse,avg_test_rmse,avg_train_mae,avg_test_mae,avg_train_r2,avg_test_r2,r2_gap,best_test_rmse,best_test_r2,best_seed
6,lr,0.01,50832.5046,53061.7027,34216.5654,35733.6877,0.8058,0.7886,0.0172,51401.2238,0.7977,42
6,lr,0.005,50992.1076,52629.3961,34113.2887,35282.5820,0.8046,0.7921,0.0125,51210.4782,0.7992,42
6,lr,0.001,53326.5203,53526.6641,36092.1061,36515.0919,0.7862,0.7849,0.0014,52561.6138,0.7884,42
6,lr,0.0005,55134.4175,54979.2053,37602.4933,37931.9784,0.7715,0.7730,-0.0015,53895.5711,0.7776,42
6,lr,0.0001,58628.4858,58175.0674,40719.9246,40915.2374,0.7417,0.7459,-0.0042,57236.7822,0.7491,42
