krok,nazwa_kroku,wartosc_parametru,avg_train_rmse,avg_test_rmse,avg_train_mae,avg_test_mae,avg_train_r2,avg_test_r2,r2_gap,best_test_rmse,best_test_r2,best_seed
7,epochs,10,55545.9465,55745.1409,38430.6459,38776.6281,0.7678,0.7663,0.0015,54084.0975,0.7817,43
7,epochs,30,50992.1076,52629.3961,34113.2887,35282.5820,0.8046,0.7921,0.0125,51210.4782,0.7992,42
7,epochs,50,48899.2120,52039.9329,33033.9172,35008.7638,0.8203,0.7965,0.0237,51211.4003,0.8042,43
7,epochs,100,45437.0010,51746.2372,30922.1192,34630.7169,0.8448,0.7990,0.0458,51394.1201,0.8029,43
7,epochs,200,40716.5865,52364.4119,27691.5752,34408.8305,0.8754,0.7942,0.0812,51388.4225,0.7978,42
7,epochs,300,38315.0595,53958.5697,26612.6902,35688.3504,0.8897,0.7813,0.1083,53128.4905,0.7839,42
