krok,nazwa_kroku,wartosc_parametru,avg_train_rmse,avg_test_rmse,avg_train_mae,avg_test_mae,avg_train_r2,avg_test_r2,r2_gap,best_test_rmse,best_test_r2,best_seed
5,weight_init_scale,0.01,115364.2782,115440.5091,91105.6149,91324.8515,-0.0001,-0.0004,0.0003,114302.1905,-0.0004,42
5,weight_init_scale,0.1,62274.7765,61426.2187,44472.5993,44362.3511,0.7086,0.7167,-0.0082,60738.2293,0.7175,42
5,weight_init_scale,1.0,53326.5203,53526.6641,36092.1061,36515.0919,0.7862,0.7849,0.0014,52561.6138,0.7884,42
5,weight_init_scale,2.0,51658.2097,53750.4025,35579.4858,37008.2976,0.7994,0.7831,0.0163,52568.6715,0.7884,42
5,weight_init_scale,5.0,63469.8089,68965.9398,46105.3259,50316.3092,0.6968,0.6421,0.0548,64577.2461,0.6887,43
