problem,param_name,param_value,avg_train_rmse,avg_test_rmse,avg_train_mae,avg_test_mae,avg_train_r2,avg_test_r2,best_test_rmse,best_test_r2,avg_train_acc,avg_test_acc,best_test_acc
regression,test_ratio,0.3,58517.9574,58526.4532,40693.8036,41107.3200,0.7424,0.7434,57784.8091,0.7477,,,
classification,test_ratio,0.3,,,,,,,,,0.6796,0.6735,0.6779
regression,test_ratio,0.4,59118.7043,59342.7715,41434.6590,41989.4379,0.7361,0.7373,58645.5906,0.7419,,,
classification,test_ratio,0.4,,,,,,,,,0.6773,0.6762,0.6775
regression,test_ratio,0.8,62703.0767,62323.5625,44858.1520,45222.8565,0.7027,0.7086,61647.0050,0.7160,,,
classification,test_ratio,0.8,,,,,,,,,0.6663,0.6661,0.6667
regression,weight_init_scale,0.01,59081.7498,58636.0557,41225.8844,41388.0464,0.7377,0.7418,57624.0657,0.7522,,,
classification,weight_init_scale,0.01,,,,,,,,,0.6724,0.6693,0.6753
regression,weight_init_scale,0.1,58656.5907,58449.2896,40910.2904,41220.6610,0.7414,0.7435,57213.2400,0.7493,,,
classification,weight_init_scale,0.1,,,,,,,,,0.6752,0.6722,0.6775
regression,weight_init_scale,1.0,58308.8906,58044.9563,40606.9343,40761.6735,0.7445,0.7471,57002.2031,0.7512,,,
classification,weight_init_scale,1.0,,,,,,,,,0.6791,0.6798,0.6828
regression,weight_init_scale,2.0,59475.7742,59502.8264,41353.9014,41748.6879,0.7342,0.7342,58274.5536,0.7400,,,
classification,weight_init_scale,2.0,,,,,,,,,0.6787,0.6761,0.6765
regression,weight_init_scale,5.0,64432.4364,64010.0343,45439.0208,45613.2238,0.6879,0.6924,61913.4427,0.7065,,,
classification,weight_init_scale,5.0,,,,,,,,,0.6720,0.6703,0.6763
regression,repeats,1,58039.5534,57002.2031,40215.6668,39874.6357,0.7481,0.7512,57002.2031,0.7512,,,
classification,repeats,1,,,,,,,,,0.6792,0.6816,0.6816
regression,repeats,3,58308.8906,58044.9563,40606.9343,40761.6735,0.7445,0.7471,57002.2031,0.7512,,,
classification,repeats,3,,,,,,,,,0.6791,0.6798,0.6828
regression,repeats,5,58412.9638,58306.7937,40637.1377,40886.1270,0.7438,0.7439,57002.2031,0.7512,,,
classification,repeats,5,,,,,,,,,0.6780,0.6805,0.6828
regression,repeats,10,58454.5975,58794.1113,40807.5033,41150.3381,0.7431,0.7407,56855.7421,0.7545,,,
classification,repeats,10,,,,,,,,,0.6779,0.6764,0.6828
